Swat_Edit (Swat Parameters Editor 2012) Version 2.7.1.2

________________________________________________________________________________________________________________________________________________________________________________________________________


r__SOL_AWC().sol                 1.0000000E-03

Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000010030.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000010030.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.00'  Original: '0'  Old: '0.00' }  |  File: '000010031.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000010032.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000010032.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000010032.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000010033.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000010033.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000010033.sol'  |  Line: '10'
Parameter: 'SOL_AWC(4)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000010033.sol'  |  Line: '10'
Parameter: 'SOL_AWC(5)'  |  Value: { New: '0.18'  Original: '0.18'  Old: '0.18' }  |  File: '000010033.sol'  |  Line: '10'
Parameter: 'SOL_AWC(6)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000010033.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000010034.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000010034.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000010034.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000010035.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000010035.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000010035.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000010036.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000010036.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000010036.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000010037.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000010037.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000010037.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000010038.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000010038.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020001.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020001.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020001.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020002.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020002.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020002.sol'  |  Line: '10'
Parameter: 'SOL_AWC(4)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020002.sol'  |  Line: '10'
Parameter: 'SOL_AWC(5)'  |  Value: { New: '0.18'  Original: '0.18'  Old: '0.18' }  |  File: '000020002.sol'  |  Line: '10'
Parameter: 'SOL_AWC(6)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020002.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000020003.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000020003.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020003.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020004.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020004.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.32'  Original: '0.32'  Old: '0.32' }  |  File: '000020005.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020005.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020006.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020006.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020006.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020007.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020007.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020007.sol'  |  Line: '10'
Parameter: 'SOL_AWC(4)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020007.sol'  |  Line: '10'
Parameter: 'SOL_AWC(5)'  |  Value: { New: '0.18'  Original: '0.18'  Old: '0.18' }  |  File: '000020007.sol'  |  Line: '10'
Parameter: 'SOL_AWC(6)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020007.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000020008.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000020008.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020008.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000020009.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000020009.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020009.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000020010.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000020010.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020010.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020011.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020011.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.32'  Original: '0.32'  Old: '0.32' }  |  File: '000020012.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020012.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020013.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020013.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020013.sol'  |  Line: '10'
Parameter: 'SOL_AWC(4)'  |  Value: { New: '0.23'  Original: '0.23'  Old: '0.23' }  |  File: '000020013.sol'  |  Line: '10'
Parameter: 'SOL_AWC(5)'  |  Value: { New: '0.18'  Original: '0.18'  Old: '0.18' }  |  File: '000020013.sol'  |  Line: '10'
Parameter: 'SOL_AWC(6)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020013.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000020014.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000020014.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020014.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000020015.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.30'  Original: '0.3'  Old: '0.30' }  |  File: '000020015.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020015.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000020016.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000020016.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020016.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020017.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020017.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.32'  Original: '0.32'  Old: '0.32' }  |  File: '000020018.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.26'  Original: '0.26'  Old: '0.26' }  |  File: '000020018.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000020019.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.14'  Original: '0.14'  Old: '0.14' }  |  File: '000020019.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020019.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000020020.sol'  |  Line: '10'
Parameter: 'SOL_AWC(2)'  |  Value: { New: '0.16'  Original: '0.16'  Old: '0.16' }  |  File: '000020020.sol'  |  Line: '10'
Parameter: 'SOL_AWC(3)'  |  Value: { New: '0.02'  Original: '0.02'  Old: '0.02' }  |  File: '000020020.sol'  |  Line: '10'
Parameter: 'SOL_AWC(1)'  |  Value: { New: '0.28'  Original: '0.28'  Old: '0.28' }  |  File: '000020021.sol'  |  Line: '10'
